Exercise_Name;Description_URL;Exercise_Image;Exercise_Image1;muscle_gp_details;muscle_gp;equipment_details;Equipment;Rating;Description;Difficulty;Category;Exercise_Type;Goal_Tag
Dip Machine;https://www.bodybuilding.com/exercises/dip-machine;https://www.bodybuilding.com/exercises/exerciseImages/sequences/146/Male/m/146_1.jpg;https://www.bodybuilding.com/exercises/exerciseImages/sequences/146/Male/m/146_2.jpg;https://www.bodybuilding.com/exercises/muscle/triceps;Triceps;https://www.bodybuilding.com/exercises/equipment/cable;Cable;8,8;The Dip Machine targets your triceps and is categorized under strength training. It typically uses cable equipment. Ensure proper form and control for maximum effectiveness.;Intermediate;Strength;Compound;Muscle Gain
Incline dumbbell row;https://www.bodybuilding.com/exercises/dumbbell-incline-row;;;https://www.bodybuilding.com/exercises/muscle/middle-back;Middle Back;https://www.bodybuilding.com/exercises/equipment/dumbbell;Dumbbell;8,8;The Incline dumbbell row targets your middle back and is categorized under strength training. It typically uses dumbbell equipment. Ensure proper form and control for maximum effectiveness.;Intermediate;Strength;Compound;General Fitness
Dumbbell Lunges;https://www.bodybuilding.com/exercises/dumbbell-lunges;;;https://www.bodybuilding.com/exercises/muscle/quadriceps;Quadriceps;https://www.bodybuilding.com/exercises/equipment/dumbbell;Dumbbell;8,8;The Dumbbell Lunges targets your quadriceps and is categorized under strength training. It typically uses dumbbell equipment. Ensure proper form and control for maximum effectiveness.;Intermediate;Strength;Compound;General Fitness
Single-arm standing shoulder press;https://www.bodybuilding.com/exercises/dumbbell-one-arm-shoulder-press;;;https://www.bodybuilding.com/exercises/muscle/shoulders;Shoulders;https://www.bodybuilding.com/exercises/equipment/dumbbell;Dumbbell;8,8;The Single-arm standing shoulder press targets your shoulders and is categorized under strength training. It typically uses dumbbell equipment. Ensure proper form and control for maximum effectiveness.;Intermediate;Strength;Compound;Muscle Gain
Preacher Curl;https://www.bodybuilding.com/exercises/preacher-curl;https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-55s-ez-bar-preacher-curl-m1-square-600x600.jpg;https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-55s-ez-bar-preacher-curl-m2-square-600x600.jpg;https://www.bodybuilding.com/exercises/muscle/biceps;Biceps;https://www.bodybuilding.com/exercises/equipment/barbell;Barbell;8,8;The Preacher Curl targets your biceps and is categorized under strength training. It typically uses barbell equipment. Ensure proper form and control for maximum effectiveness.;Intermediate;Strength;Isolation;Muscle Gain
Reverse crunch;https://www.bodybuilding.com/exercises/reverse-crunch;https://www.bodybuilding.com/images/2020/xdb/cropped/2019-xdb-263a-reverse-crunch-m1-600x600.jpg;https://www.bodybuilding.com/images/2020/xdb/cropped/2019-xdb-263a-reverse-crunch-m2-600x600.jpg;https://www.bodybuilding.com/exercises/muscle/abdominals;Abdominals;https://www.bodybuilding.com/exercises/equipment/body-only;Body Only;8,8;The Reverse crunch targets your abdominals and is categorized under endurance training. It requires no equipment and can be performed using body weight. Ensure proper form and control for maximum effectiveness.;Intermediate;Endurance;Cardio;Stamina
Standing Dumbbell Triceps Extension;https://www.bodybuilding.com/exercises/standing-dumbbell-triceps-extension;https://www.bodybuilding.com/images/2020/june/345_1.jpg;https://www.bodybuilding.com/images/2020/june/345_2.jpg;https://www.bodybuilding.com/exercises/muscle/triceps;Triceps;https://www.bodybuilding.com/exercises/equipment/dumbbell;Dumbbell;8,8;The Standing Dumbbell Triceps Extension targets your triceps and is categorized under strength training. It typically uses dumbbell equipment. Ensure proper form and control for maximum effectiveness.;Intermediate;Strength;Isolation;Muscle Gain
Elliptical trainer;https://www.bodybuilding.com/exercises/elliptical-trainer;https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-22m-elliptical-trainer-m1-square-600x600.jpg;https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-22m-elliptical-trainer-m2-square-600x600.jpg;https://www.bodybuilding.com/exercises/muscle/quadriceps;Quadriceps;https://www.bodybuilding.com/exercises/equipment/machine;Machine;8,8;The Elliptical trainer targets your quadriceps and is categorized under strength training. It typically uses machine equipment. Ensure proper form and control for maximum effectiveness.;Intermediate;Strength;Compound;General Fitness
Bodyweight squat;https://www.bodybuilding.com/exercises/bodyweight-squat;https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-27a-bodyweight-squat-m1-square-600x600.jpg;https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-27a-bodyweight-squat-m2-square-600x600.jpg;https://www.bodybuilding.com/exercises/muscle/quadriceps;Quadriceps;https://www.bodybuilding.com/exercises/equipment/body-only;Body Only;8,8;The Bodyweight squat targets your quadriceps and is categorized under strength training. It requires no equipment and can be performed using body weight. Ensure proper form and control for maximum effectiveness.;Intermediate;Strength;Compound;General Fitness
Bent Over Two-Dumbbell Row With Palms In;https://www.bodybuilding.com/exercises/bent-over-two-dumbbell-row-with-palms-in;https://www.bodybuilding.com/exercises/exerciseImages/sequences/17/Male/m/17_1.jpg;https://www.bodybuilding.com/exercises/exerciseImages/sequences/17/Male/m/17_2.jpg;https://www.bodybuilding.com/exercises/muscle/middle-back;Middle Back;https://www.bodybuilding.com/exercises/equipment/dumbbell;Dumbbell;8,8;The Bent Over Two-Dumbbell Row With Palms In targets your middle back and is categorized under strength training. It typically uses dumbbell equipment. Ensure proper form and control for maximum effectiveness.;Intermediate;Strength;Compound;General Fitness
Hex-bar deadlift;https://www.bodybuilding.com/exercises/trap-bar-deadlift;https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-123s-hex-bar-deadlift-m1-square-600x600.jpg;https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-123s-hex-bar-deadlift-m2-square-600x600.jpg;https://www.bodybuilding.com/exercises/muscle/quadriceps;Quadriceps;https://www.bodybuilding.com/exercises/equipment/other;Other;8,8;The Hex-bar deadlift targets your quadriceps and is categorized under strength training. It typically uses other equipment. Ensure proper form and control for maximum effectiveness.;Intermediate;Strength;Compound;General Fitness
Narrow-stance leg press;https://www.bodybuilding.com/exercises/narrow-stance-leg-press;https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-46m-wide-stance-leg-press-m1-square-600x600.jpg;https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-46m-wide-stance-leg-press-m2-square-600x600.jpg;https://www.bodybuilding.com/exercises/muscle/quadriceps;Quadriceps;https://www.bodybuilding.com/exercises/equipment/machine;Machine;8,8;The Narrow-stance leg press targets your quadriceps and is categorized under strength training. It typically uses machine equipment. Ensure proper form and control for maximum effectiveness.;Intermediate;Strength;Compound;General Fitness
Single-leg glute bridge;https://www.bodybuilding.com/exercises/single-leg-glute-bridge;https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-61a-single-leg-glute-bridge-m1-square-600x600.jpg;https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-61a-single-leg-glute-bridge-m3-square-600x600.jpg;https://www.bodybuilding.com/exercises/muscle/glutes;Glutes;https://www.bodybuilding.com/exercises/equipment/body-only;Body Only;8,8;The Single-leg glute bridge targets your glutes and is categorized under strength training. It requires no equipment and can be performed using body weight. Ensure proper form and control for maximum effectiveness.;Intermediate;Strength;Compound;Muscle Gain
Barbell Curls Lying Against An Incline;https://www.bodybuilding.com/exercises/barbell-curls-lying-against-an-incline;https://www.bodybuilding.com/exercises/exerciseImages/sequences/300/Male/m/300_1.jpg;https://www.bodybuilding.com/exercises/exerciseImages/sequences/300/Male/m/300_2.jpg;https://www.bodybuilding.com/exercises/muscle/biceps;Biceps;https://www.bodybuilding.com/exercises/equipment/barbell;Barbell;8,8;The Barbell Curls Lying Against An Incline targets your biceps and is categorized under strength training. It typically uses barbell equipment. Ensure proper form and control for maximum effectiveness.;Intermediate;Strength;Isolation;Muscle Gain
Standing Hip Circles;https://www.bodybuilding.com/exercises/standing-hip-circles;https://www.bodybuilding.com/exercises/exerciseImages/sequences/873/Male/m/873_1.jpg;https://www.bodybuilding.com/exercises/exerciseImages/sequences/873/Male/m/873_2.jpg;https://www.bodybuilding.com/exercises/muscle/abductors;Abductors;https://www.bodybuilding.com/exercises/equipment/body-only;Body Only;8,8;The Standing Hip Circles targets your abductors and is categorized under strength training. It requires no equipment and can be performed using body weight. Ensure proper form and control for maximum effectiveness.;Intermediate;Strength;Compound;General Fitness
Clam;https://www.bodybuilding.com/exercises/clam;https://www.bodybuilding.com/images/2020/april/2843_1.jpg;https://www.bodybuilding.com/images/2020/april/2843_2.jpg;https://www.bodybuilding.com/exercises/muscle/abductors;Abductors;https://www.bodybuilding.com/exercises/finder;nan;8,8;The Clam targets your abductors and is categorized under strength training. It typically uses nan equipment. Ensure proper form and control for maximum effectiveness.;Intermediate;Strength;Compound;General Fitness
Narrow Stance Hack Squats;https://www.bodybuilding.com/exercises/narrow-stance-hack-squats;;;https://www.bodybuilding.com/exercises/muscle/quadriceps;Quadriceps;https://www.bodybuilding.com/exercises/equipment/machine;Machine;8,8;The Narrow Stance Hack Squats targets your quadriceps and is categorized under strength training. It typically uses machine equipment. Ensure proper form and control for maximum effectiveness.;Intermediate;Strength;Compound;General Fitness
Seated Close-Grip Concentration Barbell Curl;https://www.bodybuilding.com/exercises/seated-close-grip-concentration-barbell-curl;;;https://www.bodybuilding.com/exercises/muscle/biceps;Biceps;https://www.bodybuilding.com/exercises/equipment/barbell;Barbell;8,8;The Seated Close-Grip Concentration Barbell Curl targets your biceps and is categorized under strength training. It typically uses barbell equipment. Ensure proper form and control for maximum effectiveness.;Intermediate;Strength;Isolation;Muscle Gain
Dumbbell Lying Pronation;https://www.bodybuilding.com/exercises/dumbbell-lying-pronation;;;https://www.bodybuilding.com/exercises/muscle/forearms;Forearms;https://www.bodybuilding.com/exercises/finder;nan;8,8;The Dumbbell Lying Pronation targets your forearms and is categorized under strength training. It typically uses nan equipment. Ensure proper form and control for maximum effectiveness.;Intermediate;Strength;Compound;General Fitness
Smith machine box squat;https://www.bodybuilding.com/exercises/chair-squat;;;https://www.bodybuilding.com/exercises/muscle/quadriceps;Quadriceps;https://www.bodybuilding.com/exercises/equipment/barbell;Barbell;8,8;The Smith machine box squat targets your quadriceps and is categorized under strength training. It typically uses barbell equipment. Ensure proper form and control for maximum effectiveness.;Intermediate;Strength;Compound;General Fitness
Drop Push;https://www.bodybuilding.com/exercises/drop-push;;;https://www.bodybuilding.com/exercises/muscle/chest;Chest;https://www.bodybuilding.com/exercises/equipment/other;Other;8,8;The Drop Push targets your chest and is categorized under strength training. It typically uses other equipment. Ensure proper form and control for maximum effectiveness.;Intermediate;Strength;Compound;Muscle Gain
Upside-down pull-up;https://www.bodybuilding.com/exercises/bodyweight-mid-row;;;https://www.bodybuilding.com/exercises/muscle/middle-back;Middle Back;https://www.bodybuilding.com/exercises/equipment/other;Other;8,8;The Upside-down pull-up targets your middle back and is categorized under strength training. It typically uses other equipment. Ensure proper form and control for maximum effectiveness.;Intermediate;Strength;Compound;General Fitness
Reverse Barbell Preacher Curls;https://www.bodybuilding.com/exercises/reverse-barbell-preacher-curls;;;https://www.bodybuilding.com/exercises/muscle/biceps;Biceps;https://www.bodybuilding.com/exercises/equipment/ez-curl-bar;E-Z Curl Bar;8,8;The Reverse Barbell Preacher Curls targets your biceps and is categorized under strength training. It typically uses e-z curl bar equipment. Ensure proper form and control for maximum effectiveness.;Intermediate;Strength;Isolation;Muscle Gain
Close-grip EZ-bar bench press;https://www.bodybuilding.com/exercises/close-grip-ez-bar-press;;;https://www.bodybuilding.com/exercises/muscle/chest;Chest;https://www.bodybuilding.com/exercises/equipment/ez-curl-bar;E-Z Curl Bar;8,8;The Close-grip EZ-bar bench press targets your chest and is categorized under strength training. It typically uses e-z curl bar equipment. Ensure proper form and control for maximum effectiveness.;Intermediate;Strength;Compound;Muscle Gain
Incline Push-Up;https://www.bodybuilding.com/exercises/incline-push-up;;;https://www.bodybuilding.com/exercises/muscle/chest;Chest;https://www.bodybuilding.com/exercises/equipment/body-only;Body Only;8,8;The Incline Push-Up targets your chest and is categorized under strength training. It requires no equipment and can be performed using body weight. Ensure proper form and control for maximum effectiveness.;Intermediate;Strength;Compound;Muscle Gain
Hyperextensions With No Hyperextension Bench;https://www.bodybuilding.com/exercises/hyperextensions-with-no-hyperextension-bench;;;https://www.bodybuilding.com/exercises/muscle/lower-back;Lower Back;https://www.bodybuilding.com/exercises/equipment/body-only;Body Only;8,8;The Hyperextensions With No Hyperextension Bench targets your lower back and is categorized under strength training. It requires no equipment and can be performed using body weight. Ensure proper form and control for maximum effectiveness.;Intermediate;Strength;Isolation;Fat Loss
Dumbbell front raise;https://www.bodybuilding.com/exercises/front-two-dumbbell-raise;https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-13d-dumbbell-front-raise-m2-square-600x600.jpg;;https://www.bodybuilding.com/exercises/muscle/shoulders;Shoulders;https://www.bodybuilding.com/exercises/equipment/dumbbell;Dumbbell;8,8;The Dumbbell front raise targets your shoulders and is categorized under strength training. It typically uses dumbbell equipment. Ensure proper form and control for maximum effectiveness.;Intermediate;Strength;Isolation;Muscle Gain
Parallel Bar Dip;https://www.bodybuilding.com/exercises/parallel-bar-dip;https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-1m-triceps-dip-m1-square-600x600.jpg;https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-1m-triceps-dip-m2-square-600x600.jpg;https://www.bodybuilding.com/exercises/muscle/triceps;Triceps;https://www.bodybuilding.com/exercises/equipment/body-only;Body Only;8,8;The Parallel Bar Dip targets your triceps and is categorized under strength training. It requires no equipment and can be performed using body weight. Ensure proper form and control for maximum effectiveness.;Intermediate;Strength;Compound;Muscle Gain
Stairmaster;https://www.bodybuilding.com/exercises/stairmaster;https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-51m-stair-climber-m1-square-600x600.jpg;https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-51m-stair-climber-m2-square-600x600.jpg;https://www.bodybuilding.com/exercises/muscle/quadriceps;Quadriceps;https://www.bodybuilding.com/exercises/equipment/machine;Machine;8,8;The Stairmaster targets your quadriceps and is categorized under strength training. It typically uses machine equipment. Ensure proper form and control for maximum effectiveness.;Intermediate;Strength;Compound;General Fitness
Double Leg Butt Kick;https://www.bodybuilding.com/exercises/double-leg-butt-kick;https://www.bodybuilding.com/exercises/exerciseImages/sequences/778/Male/m/778_1.jpg;https://www.bodybuilding.com/exercises/exerciseImages/sequences/778/Male/m/778_2.jpg;https://www.bodybuilding.com/exercises/muscle/quadriceps;Quadriceps;https://www.bodybuilding.com/exercises/finder;nan;8,8;The Double Leg Butt Kick targets your quadriceps and is categorized under strength training. It typically uses nan equipment. Ensure proper form and control for maximum effectiveness.;Intermediate;Strength;Compound;General Fitness
Groiners;https://www.bodybuilding.com/exercises/groiners-;;;https://www.bodybuilding.com/exercises/muscle/adductors;Adductors;https://www.bodybuilding.com/exercises/equipment/body-only;Body Only;8,8;The Groiners targets your adductors and is categorized under strength training. It requires no equipment and can be performed using body weight. Ensure proper form and control for maximum effectiveness.;Intermediate;Strength;Compound;General Fitness
Neck Press;https://www.bodybuilding.com/exercises/neck-press;;;https://www.bodybuilding.com/exercises/muscle/chest;Chest;https://www.bodybuilding.com/exercises/equipment/barbell;Barbell;8,8;The Neck Press targets your chest and is categorized under strength training. It typically uses barbell equipment. Ensure proper form and control for maximum effectiveness.;Intermediate;Strength;Compound;Muscle Gain
Broad jump;https://www.bodybuilding.com/exercises/standing-long-jump;;;https://www.bodybuilding.com/exercises/muscle/quadriceps;Quadriceps;https://www.bodybuilding.com/exercises/equipment/body-only;Body Only;8,8;The Broad jump targets your quadriceps and is categorized under endurance training. It requires no equipment and can be performed using body weight. Ensure proper form and control for maximum effectiveness.;Intermediate;Endurance;Cardio;General Fitness
Machine Squat;https://www.bodybuilding.com/exercises/machine-squat;;;https://www.bodybuilding.com/exercises/muscle/quadriceps;Quadriceps;https://www.bodybuilding.com/exercises/equipment/machine;Machine;8,8;The Machine Squat targets your quadriceps and is categorized under strength training. It typically uses machine equipment. Ensure proper form and control for maximum effectiveness.;Intermediate;Strength;Compound;General Fitness
V-bar pull-up;https://www.bodybuilding.com/exercises/v-bar-pullup;https://www.bodybuilding.com/images/2020/xdb/cropped/2020-xdb-140c-v-bar-pull-up-m1-crop-600x600.jpg;;https://www.bodybuilding.com/exercises/muscle/lats;Lats;https://www.bodybuilding.com/exercises/finder;nan;8,8;The V-bar pull-up targets your lats and is categorized under strength training. It typically uses nan equipment. Ensure proper form and control for maximum effectiveness.;Intermediate;Strength;Compound;General Fitness
Ring dip;https://www.bodybuilding.com/exercises/ring-dips;;;https://www.bodybuilding.com/exercises/muscle/triceps;Triceps;https://www.bodybuilding.com/exercises/equipment/body-only;Body Only;8,8;The Ring dip targets your triceps and is categorized under strength training. It requires no equipment and can be performed using body weight. Ensure proper form and control for maximum effectiveness.;Intermediate;Strength;Compound;Muscle Gain
Standing One-Arm Cable Curl;https://www.bodybuilding.com/exercises/standing-one-arm-cable-curl;;;https://www.bodybuilding.com/exercises/muscle/biceps;Biceps;https://www.bodybuilding.com/exercises/equipment/cable;Cable;8,8;The Standing One-Arm Cable Curl targets your biceps and is categorized under strength training. It typically uses cable equipment. Ensure proper form and control for maximum effectiveness.;Intermediate;Strength;Isolation;Muscle Gain
Burpee;https://www.bodybuilding.com/exercises/burpee;https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-38a-burpee-m4-square-600x600.jpg;;https://www.bodybuilding.com/exercises/muscle/quadriceps;Quadriceps;https://www.bodybuilding.com/exercises/equipment/body-only;Body Only;8,8;The Burpee targets your quadriceps and is categorized under strength training. It requires no equipment and can be performed using body weight. Ensure proper form and control for maximum effectiveness.;Intermediate;Strength;Compound;General Fitness
Double-arm triceps kick-back;https://www.bodybuilding.com/exercises/standing-bent-over-two-arm-dumbbell-triceps-extension;https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-75d-double-arm-triceps-kick-back-m2-square-600x600.jpg;https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-75d-double-arm-triceps-kick-back-m3-square-600x600.jpg;https://www.bodybuilding.com/exercises/muscle/triceps;Triceps;https://www.bodybuilding.com/exercises/equipment/dumbbell;Dumbbell;8,8;The Double-arm triceps kick-back targets your triceps and is categorized under strength training. It typically uses dumbbell equipment. Ensure proper form and control for maximum effectiveness.;Intermediate;Strength;Compound;Muscle Gain
Dumbbell reverse lunge;https://www.bodybuilding.com/exercises/dumbbell-rear-lunge;https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-83d-dumbbell-reverse-lunge-m1-square-600x600.jpg;;https://www.bodybuilding.com/exercises/muscle/quadriceps;Quadriceps;https://www.bodybuilding.com/exercises/equipment/dumbbell;Dumbbell;8,7;The Dumbbell reverse lunge targets your quadriceps and is categorized under strength training. It typically uses dumbbell equipment. Ensure proper form and control for maximum effectiveness.;Intermediate;Strength;Compound;General Fitness
Seated Calf Raise;https://www.bodybuilding.com/exercises/seated-calf-raise;https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-13m-machine-seated-calf-raise-m1-square-600x600.jpg;https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-13m-machine-seated-calf-raise-m2-square-600x600.jpg;https://www.bodybuilding.com/exercises/muscle/calves;Calves;https://www.bodybuilding.com/exercises/equipment/machine;Machine;8,7;The Seated Calf Raise targets your calves and is categorized under stamina training. It typically uses machine equipment. Ensure proper form and control for maximum effectiveness.;Intermediate;Stamina;Isolation;Stamina
Standing dumbbell shrug;https://www.bodybuilding.com/exercises/dumbbell-shrug;https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-115d-standing-dumbbell-shrug-m1-square-600x600.jpg;https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-115d-standing-dumbbell-shrug-m2-square-600x600.jpg;https://www.bodybuilding.com/exercises/muscle/traps;Traps;https://www.bodybuilding.com/exercises/equipment/dumbbell;Dumbbell;8,7;The Standing dumbbell shrug targets your traps and is categorized under strength training. It typically uses dumbbell equipment. Ensure proper form and control for maximum effectiveness.;Intermediate;Strength;Compound;General Fitness
Calf Press On The Leg Press Machine;https://www.bodybuilding.com/exercises/calf-press-on-the-leg-press-machine;;;https://www.bodybuilding.com/exercises/muscle/calves;Calves;https://www.bodybuilding.com/exercises/equipment/machine;Machine;8,7;The Calf Press On The Leg Press Machine targets your calves and is categorized under stamina training. It typically uses machine equipment. Ensure proper form and control for maximum effectiveness.;Intermediate;Stamina;Compound;Stamina
Barbell step-up;https://www.bodybuilding.com/exercises/barbell-step-ups;;;https://www.bodybuilding.com/exercises/muscle/quadriceps;Quadriceps;https://www.bodybuilding.com/exercises/equipment/barbell;Barbell;8,7;The Barbell step-up targets your quadriceps and is categorized under strength training. It typically uses barbell equipment. Ensure proper form and control for maximum effectiveness.;Intermediate;Strength;Compound;General Fitness
Feet-elevated bench dip;https://www.bodybuilding.com/exercises/bench-dips;;;https://www.bodybuilding.com/exercises/muscle/triceps;Triceps;https://www.bodybuilding.com/exercises/equipment/body-only;Body Only;8,7;The Feet-elevated bench dip targets your triceps and is categorized under strength training. It requires no equipment and can be performed using body weight. Ensure proper form and control for maximum effectiveness.;Intermediate;Strength;Compound;Muscle Gain
Bent Over Barbell Row;https://www.bodybuilding.com/exercises/bent-over-barbell-row;;;https://www.bodybuilding.com/exercises/muscle/middle-back;Middle Back;https://www.bodybuilding.com/exercises/equipment/barbell;Barbell;8,7;The Bent Over Barbell Row targets your middle back and is categorized under strength training. It typically uses barbell equipment. Ensure proper form and control for maximum effectiveness.;Intermediate;Strength;Compound;General Fitness
Crunches;https://www.bodybuilding.com/exercises/crunches;;;https://www.bodybuilding.com/exercises/muscle/abdominals;Abdominals;https://www.bodybuilding.com/exercises/equipment/body-only;Body Only;8,7;The Crunches targets your abdominals and is categorized under endurance training. It requires no equipment and can be performed using body weight. Ensure proper form and control for maximum effectiveness.;Intermediate;Endurance;Cardio;Stamina
Dumbbell Alternate Bicep Curl;https://www.bodybuilding.com/exercises/dumbbell-alternate-bicep-curl;;;https://www.bodybuilding.com/exercises/muscle/biceps;Biceps;https://www.bodybuilding.com/exercises/equipment/dumbbell;Dumbbell;8,7;The Dumbbell Alternate Bicep Curl targets your biceps and is categorized under strength training. It typically uses dumbbell equipment. Ensure proper form and control for maximum effectiveness.;Intermediate;Strength;Isolation;Muscle Gain
Bent-over dumbbell rear delt row;https://www.bodybuilding.com/exercises/dumbbell-rear-delt-row;;;https://www.bodybuilding.com/exercises/muscle/shoulders;Shoulders;https://www.bodybuilding.com/exercises/equipment/dumbbell;Dumbbell;8,7;The Bent-over dumbbell rear delt row targets your shoulders and is categorized under strength training. It typically uses dumbbell equipment. Ensure proper form and control for maximum effectiveness.;Intermediate;Strength;Compound;Muscle Gain
External Rotation with Cable;https://www.bodybuilding.com/exercises/external-rotation-with-cable;;;https://www.bodybuilding.com/exercises/muscle/shoulders;Shoulders;https://www.bodybuilding.com/exercises/finder;Cables;8,7;The External Rotation with Cable targets your shoulders and is categorized under strength training. It typically uses cables equipment. Ensure proper form and control for maximum effectiveness.;Intermediate;Strength;Compound;Muscle Gain
Handstand push-up;https://www.bodybuilding.com/exercises/handstand-push-ups;;;https://www.bodybuilding.com/exercises/muscle/shoulders;Shoulders;https://www.bodybuilding.com/exercises/equipment/body-only;Body Only;8,7;The Handstand push-up targets your shoulders and is categorized under strength training. It requires no equipment and can be performed using body weight. Ensure proper form and control for maximum effectiveness.;Intermediate;Strength;Compound;Muscle Gain
Single-arm dumbbell preacher curl;https://www.bodybuilding.com/exercises/one-arm-dumbbell-preacher-curl;https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-53s-single-arm-dumbbell-preacher-curl-m1-square-600x600.jpg;https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-53s-single-arm-dumbbell-preacher-curl-m2-square-600x600.jpg;https://www.bodybuilding.com/exercises/muscle/biceps;Biceps;https://www.bodybuilding.com/exercises/equipment/dumbbell;Dumbbell;8,7;The Single-arm dumbbell preacher curl targets your biceps and is categorized under strength training. It typically uses dumbbell equipment. Ensure proper form and control for maximum effectiveness.;Intermediate;Strength;Isolation;Muscle Gain
Step-up with knee raise;https://www.bodybuilding.com/exercises/step-up-with-knee-raise;https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-70e-step-up-with-knee-raise-m1-square-600x600.jpg;https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-70e-step-up-with-knee-raise-m2-square-600x600.jpg;https://www.bodybuilding.com/exercises/muscle/glutes;Glutes;https://www.bodybuilding.com/exercises/equipment/body-only;Body Only;8,7;The Step-up with knee raise targets your glutes and is categorized under strength training. It requires no equipment and can be performed using body weight. Ensure proper form and control for maximum effectiveness.;Intermediate;Strength;Isolation;Muscle Gain
Smith machine back squat;https://www.bodybuilding.com/exercises/smith-machine-squat;https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-18t-smith-machine-back-squat-m1-square-600x600.jpg;https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-18t-smith-machine-back-squat-m2-square-600x600.jpg;https://www.bodybuilding.com/exercises/muscle/quadriceps;Quadriceps;https://www.bodybuilding.com/exercises/equipment/machine;Machine;8,7;The Smith machine back squat targets your quadriceps and is categorized under strength training. It typically uses machine equipment. Ensure proper form and control for maximum effectiveness.;Intermediate;Strength;Compound;General Fitness
Incline dumbbell front raise;https://www.bodybuilding.com/exercises/front-incline-dumbbell-raise;;;https://www.bodybuilding.com/exercises/muscle/shoulders;Shoulders;https://www.bodybuilding.com/exercises/equipment/dumbbell;Dumbbell;8,7;The Incline dumbbell front raise targets your shoulders and is categorized under strength training. It typically uses dumbbell equipment. Ensure proper form and control for maximum effectiveness.;Intermediate;Strength;Isolation;Muscle Gain
Alternate Incline Dumbbell Curl;https://www.bodybuilding.com/exercises/alternate-incline-dumbbell-curl;https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-26n-alternating-incline-dumbbell-biceps-curl-m1-square-600x600.jpg;https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-26n-alternating-incline-dumbbell-biceps-curl-m2-square-600x600.jpg;https://www.bodybuilding.com/exercises/muscle/biceps;Biceps;https://www.bodybuilding.com/exercises/equipment/dumbbell;Dumbbell;8,7;The Alternate Incline Dumbbell Curl targets your biceps and is categorized under strength training. It typically uses dumbbell equipment. Ensure proper form and control for maximum effectiveness.;Intermediate;Strength;Isolation;Muscle Gain
Standing dumbbell upright row;https://www.bodybuilding.com/exercises/standing-dumbbell-upright-row;https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-125d-standing-dumbbell-upright-row-m1-square-600x600.jpg;https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-125d-standing-dumbbell-upright-row-m2-square-600x600.jpg;https://www.bodybuilding.com/exercises/muscle/traps;Traps;https://www.bodybuilding.com/exercises/equipment/dumbbell;Dumbbell;8,7;The Standing dumbbell upright row targets your traps and is categorized under strength training. It typically uses dumbbell equipment. Ensure proper form and control for maximum effectiveness.;Intermediate;Strength;Compound;General Fitness
Single-arm cable front raise;https://www.bodybuilding.com/exercises/front-cable-raise;https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-42c-single-arm-cable-front-raise-m1-square-600x600.jpg;https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-42c-single-arm-cable-front-raise-m2-square-600x600.jpg;https://www.bodybuilding.com/exercises/muscle/shoulders;Shoulders;https://www.bodybuilding.com/exercises/equipment/cable;Cable;8,7;The Single-arm cable front raise targets your shoulders and is categorized under strength training. It typically uses cable equipment. Ensure proper form and control for maximum effectiveness.;Intermediate;Strength;Isolation;Muscle Gain
